Вопрос,Ответ
"Расскажи про инвестиционную площадку ""Ангстрем""","Площадка «Ангстрем» расположена в Зеленоградском административном округе города Москвы и является частью особой экономической зоны «Технополис Москва». Общая площадь данной площадки составляет 15,2 га. На сегодняшний день на ней зарегистрировано 3 резидента ОЭЗ. Суммарный объем инвестиций, привлеченных на площадку, достигает 11,58 млрд рублей. Площадка способна обеспечить 1365 рабочих мест для специалистов в сфере микроэлектроники и смежных отраслей. Таким образом, площадка «Ангстрем» представляет собой высокотехнологичный комплекс, ориентированный на производство электронных компонентов, микросхем и микропроцессоров, с развитой инфраструктурой и привлекательными условиями для размещения и развития бизнеса."
"Расскажи про инвестиционную площадку ""МИЭТ""","Площадка «МИЭТ» расположена в Зеленоградском административном округе города Москвы и является частью особой экономической зоны «Технополис Москва». Общая площадь данной площадки составляет 4,5 га. На сегодняшний день на ней зарегистрировано 10 резидентов ОЭЗ. Суммарный объем инвестиций, привлеченных на площадку, достигает 6,02 млрд рублей. Площадка способна обеспечить 1007 рабочих мест для специалистов в сфере микроэлектроники и смежных отраслей. Таким образом, площадка «МИЭТ» представляет собой высокотехнологичный комплекс, ориентированный на производство электронных компонентов, микросхем и микропроцессоров, с развитой инфраструктурой и привлекательными условиями для размещения и развития бизнеса."
"Расскажи про инвестиционную площадку ""Москва""","Технополис «Москва» расположен в Юго-Восточном административном округе города Москвы и представляет собой особую экономическую зону. Общая площадь данного технополиса составляет 37,8 га. На сегодняшний день на его территории зарегистрировано 46 резидентов ОЭЗ. Суммарный объем инвестиций, привлеченных в Технополис «Москва», достигает 15,80 млрд рублей. Технополис способен обеспечить 2616 рабочих мест для специалистов в различных отраслях. Таким образом, Технополис «Москва» представляет собой крупный высокотехнологичный комплекс с развитой инфраструктурой, ориентированный на размещение и развитие наукоемких производств и инновационных компаний."
"Расскажи про инвестиционную площадку ""Алабушево""","Площадка «Алабушево» расположена в Зеленоградском административном округе города Москвы и является частью особой экономической зоны «Технополис Москва». Общая площадь данной площадки составляет 156,8 га. На сегодняшний день на ней зарегистрировано 31 резидент ОЭЗ. Суммарный объем инвестиций, привлеченных на площадку, достигает 22,80 млрд рублей. Площадка способна обеспечить 590 рабочих мест для специалистов в сфере микроэлектроники, высоких технологий и смежных отраслей. Таким образом, площадка «Алабушево» представляет собой крупный высокотехнологичный комплекс с развитой инфраструктурой, ориентированный на размещение и развитие наукоемких производств и инновационных компаний."
"Расскажи про инвестиционную площадку ""Руднево""","Площадка «Руднево» расположена в Восточном административном округе города Москвы и является частью особой экономической зоны «Технополис Москва». Общая площадь данной площадки составляет 52,87 га."
"Кто вправе обратиться за выдачей выписки из реестра резидентов 
особой экономической зоны?","Выписка из реестра резидентов особой экономической зоны представляется по требованию резидента особой экономической зоны или по запросам заинтересованных лиц. При этом категориями заявителей могут быть как юридические, так и физические лица, в том числе индивидуальные предприниматели."
Срок предоставления государственной услуги по выдаче выписки из реестра резидентов?,Максимальный срок предоставления государственной услуги по выдаче выписки из реестра резидентов ОЭЗ составляет 5 рабочих дней со дня регистрации соответствующего
"Как считать арендную плату за предоставленный в аренду объект недвижимости, расположенный в границах особой экономической зоны и находящийся в государственной или муниципальной собственности?","Административным регламентом предоставления государственной услуги методика расчета арендной платы не регламентирована, вместе с тем указанные правоотношения регулируются приказом Минэкономразвития России от 14 июля 2006 г. № 190 «Об утверждении методики расчета арендной платы по договорам аренды государственного и (или) муниципального недвижимого имущества (зданий (их частей), сооружений), находящегося на земельных участках в пределах территорий особых экономических зон технико-внедренческого, портового и туристско-рекреационного типов и методики расчета арендной платы по договорам аренды земельных участков, расположенных в пределах территорий особых экономических зон»."
"Как понять, какой комплект документов необходимо представить, чтобы заключить договор аренды земельного участка?","В соответствии с пунктом 30 приказа Минэкономразвития России от 22 мая 2023 г. № 342 «Об утверждении Административного регламента Министерства экономического развития Российской Федерации по предоставлению государственной услуги «Предоставление в аренду земельных участков, расположенных в границах особой экономической зоны и находящихся в государственной или муниципальной собственности» в зависимости от заявителя, обратившимся за предоставлением в аренду земельных участков, расположенных в границах особой экономической зоны и находящихся в государственной или муниципальной собственности, предусмотрена соответствующая вариативность. Каждый вариант предоставления услуги предусматривает необходимый исчерпывающий перечень документов, которые заявитель должен представить самостоятельно или вправе представить по собственной инициативе."
Какие компании относятся к малому и среднему предпринимательству?,"Законодательно установлено понятие малого и среднего предпринимательства, к которому в соответствии со статьей 4 Федерального закона от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации» относятся:
зарегистрированные в установленном порядке граждане (в качестве индивидуальных предпринимателей (ИП) или в качестве глав крестьянских (фермерских) хозяйств (КФХ);
зарегистрированные в установленном порядке потребительские кооперативы и коммерческие организации (кроме государственных и муниципальных унитарных предприятий)."
Расскажи мне о льготных займах и компенсациях,"Московский Фонд поддержки промышленности и предпринимательства – подведомственное учреждение Департамента инвестиционной и промышленной политики города Москвы. Промышленным компаниям Москвы доступны различные виды займов на сумму до 300 млн рублей в зависимости от потребностей и сферы деятельности предприятия, обратившегося за поддержкой.
Фонд предлагает потенциальным заемщикам следующие продукты для финансирования инвестпроектов: «Экспорт», «Экспорт АПК», «Промышленности», «IT», «Благоустройство», «Облигационный заем», «Авансирование выручки» и «Технологическое присоединение».
Поддержка предоставляется промышленным организациям Москвы, предприятиям в сфере научных исследований и разработок, создателям программного обеспечения, экспортерам, а также компаниям, планирующим запустить в столице экспортную деятельность."
Необходима помощь в поиске площадки в Москве для локализации производства?,"Для подбора помещений с целью локализации вашего производства на территории Москвы необходимо заполнить форму запроса на Инвестиционном портале Москвы investmoscow.ru (инвестмоскоу точка ру). Необходимо в верхней части сайта перейти в «Каталог сервисов», далее выбрать «Заявка на подбор промышленной площадки». 
В случае возникновения дополнительных вопросов готовы переключить Вас на соответствующего специалиста."
Как подать заявку на присвоение статуса промышленного комплекса?,"Статус промышленного комплекса присваивается в заявительном порядке через инвестиционный портал Москвы.
Для этого на главной странице необходимо выбрать раздел «Бизнесу». В выпадающем списке выбрать «Поддержка от города», далее «Налоговые льготы», далее «Действующим предприятиям».
В открывшемся окне выбрать «Направить заявку».
В случае возникновения дополнительных вопросов готовы переключить Вас на соответствующего специалиста."
Хочу узнать информацию о предоставлении столичным предприятиям статуса промышленного комплекса?,"Статус промышленного комплекса присваивается юридическим лицам, имеющим свой имущественный комплекс и осуществляющим производственную или научную деятельность в Москве.
Более подробную информацию можно уточнить на главной странице Инвестиционного портала investmoscow.ru (инвестмоскоу точка ру), выбрав раздел «Бизнесу». В выпадающем списке необходимо выбрать «Поддержка от города», далее «Налоговые льготы», далее «Действующим предприятиям». 
В случае возникновения дополнительных вопросов готовы переключить Вас на соответствующего специалиста."
Меня интересует возможность вступления в реестр альтернативных поставщиков,"Сервис Реестр альтернативных поставщиков направлен на оказание поддержки промышленным предприятиям города Москвы, в поиске производителей альтернативного оборудования, комплектующих и материалов, а также поставщиков сервисных услуг взамен компаний, покидающих российский рынок. 
В случае возникновения дополнительных вопросов готовы переключить Вас на соответствующего специалиста."
Как подать заявку на данную меру поддержки?,"Подать заявку можно через личный кабинет на сайте mos.ru.
Для этого необходимо: 
1.	На главной странице необходимо выбрать вкладку «Власть».
2.	В выпадающем списке необходимо выбрать «Электронная приемная».
3.	Далее в открывшейся форме в пункте «1. Получатель обращения» выбрать «Департамент инвестиционной и промышленной политики города Москвы» и оставить обращение с описанием и презентацией вашего проекта. Также необходимо указать планируемые инвестиции, рабочие места, параметры и площадь испрашиваемого земельного участка, его расположение, площадь объекта капитального строительства и вид производства: фармацевтика, пищевая, легкая промышленность и т.д."
Где найти более подробную информацию о конкретном земельном участке?,"Это программа для создания новых производств на территории города Москвы. По программе «Земля за 1 рубль для производства» арендная плата на весь срок аренды земельного участка, оформляемого для проектирования и строительства/реконструкции объектов промышленно-производственного назначения, устанавливается в размере 1 (одного) рубля в год. 
В случае возникновения дополнительных вопросов готовы переключить Вас на соответствующего специалиста."
Что такое московская техническая школа? ,"Проект Московская техническая школа призван обеспечить устойчивый рост компетенций специалистов, за счет создания точек и методов взаимодействия между промышленностью города и научно-образовательными организациями.
Цель проекта: Сформировать гибкую и управляемую сеть центров технологических и производственных компетенций на базе образовательных и научных организаций, обеспеченных современной инженерной и технологической инфраструктурой для опережающей подготовки и переподготовки кадров под запросы промышленности Москвы.
Эффекты проекта: 
1) Осуществление опережающей подготовки кадров для развития высокотехнологичных производств в Москве и повышения их конкурентоспособности.
2) Формирование «единого окна» для предприятий по вопросам реализации программ дополнительного профессионального образования.
3) Выстраивание эффективных взаимоотношений промышленных предприятий Москвы с научными и образовательными организациями.
4) Экономия средств при формировании совместных образовательных программ с участием нескольких заказчиков.
Больше информации о проекте: https://moscowtechschool.ru/"
